ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,38.89,37.18,0.00,37.93
2016 Primary,26.27,22.49,0.00,24.22
2016 Primary Runoff,5.74,2.75,0.00,4.13
2016 General,61.60,64.60,0.00,63.13
2018 Primary,25.38,18.71,0.00,21.90
2018 Primary Runoff,14.76,11.74,0.00,13.17
2018 General,61.59,61.23,0.00,61.34
