,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,60.38,68.57,0.0
1,OTHER,34.78,55.56,0.0
2,NATIVE AMERICAN,0.0,50.0,0.0
3,LATINO,68.75,69.23,0.0
4,ASIAN-PACIFIC,60.0,72.0,0.0
5,WHITE,75.66,77.78,0.0
6,BLACK,40.44,58.04,0.0
