,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,37.55,33.33,0.0
1,OTHER,62.96,37.5,0.0
2,NATIVE AMERICAN,50.0,50.0,0.0
3,LATINO,40.82,46.43,0.0
4,ASIAN-PACIFIC,46.15,42.86,0.0
5,WHITE,57.57,58.16,100.0
6,BLACK,45.61,65.44,0.0
