,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,36.45,43.28,0.0
1,OTHER,70.83,58.33,0.0
2,NATIVE AMERICAN,0.0,100.0,0.0
3,LATINO,41.67,46.43,0.0
4,ASIAN-PACIFIC,57.14,64.0,0.0
5,WHITE,65.43,61.51,80.0
6,BLACK,29.59,45.17,0.0
