RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,20.69,26.29,0.00,23.64
OTHER,56.67,30.30,0.00,42.86
NATIVE-AM,33.33,0.00,0.00,16.67
HISP-LT,36.36,28.04,0.00,31.52
ASIA-PI,26.32,35.29,0.00,32.08
WHITE,39.49,38.48,0.00,38.91
BLACK,46.31,52.06,0.00,49.58
TOTAL,40.15,42.95,0.00,41.72
