,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,18.6,21.77,0.0
1,OTHER,33.33,45.45,0.0
2,NATIVE AMERICAN,0.0,50.0,0.0
3,LATINO,17.39,37.5,0.0
4,ASIAN-PACIFIC,100.0,75.0,0.0
5,WHITE,63.25,63.17,0.0
6,BLACK,50.0,55.46,100.0
