,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,57.45,55.26,0.0
1,OTHER,37.5,0.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,50.0,37.5,0.0
4,ASIAN-PACIFIC,50.0,55.56,0.0
5,WHITE,65.58,61.73,0.0
6,BLACK,46.67,66.67,0.0
