RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,25.16,39.87,0.0,32.59
OTHER,44.0,42.5,0.0,43.08
NATIVE-AM,0.0,50.0,0.0,25.0
HISP-LT,30.25,41.67,0.0,36.26
ASIA-PI,37.23,48.51,100.0,43.01
WHITE,45.29,49.15,50.0,47.28
BLACK,43.41,52.69,50.0,49.03
TOTAL,37.93,48.2,60.0,43.63
