PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
1B,55.29,0,39.1,28.99,0,42.86,14.29,0,33.33,75,0,50,57.14,0,33.33,0,50,58.81,57.56,0,62.82,50.00
1C,55.97,0,47.95,28.75,0,55.56,75,0,100,50,0,100,33.33,0,66.67,0,100,58.45,59.1,0,54.72,49.09
1D,57.62,0,33.71,29.77,0,42.86,33.33,0,100,0,100,53.85,52.38,0,16.67,0,100,62.09,61.51,0,63.89,44.19
2A,63.78,100,46.05,37.42,0,75,42.86,0,66.67,0,0,48,69.23,0,54.55,33.33,100,67.98,65.86,0,76.53,58.82
2B,53.11,0,38.8,29.61,0,33.33,33.33,0,0,0,100,33.33,46.15,0,71.43,42.86,33.33,57.11,58.68,0,52.6,41.33
2C,58.35,100,46.65,43.53,0,50,44.44,0,0,33.33,0,44.44,29.73,0,52.38,69.23,0,61.9,59.88,0,65.62,61.09
3A,58.47,0,32.79,26.09,0,0,50,0,25,40,0,80,0,0,100,0,100,63.65,65.73,0,53.04,43.06
3B,61.66,100,40,43.86,0,66.67,50,0,50,0,0,75,66.67,0,0,50,0,68.01,66.82,0,59.76,50.52
3C,56.07,100,41.58,30.1,0,33.33,25,0,0,50,0,30.77,40,0,66.67,0,50,62.27,61.59,0,50.29,37.70
3D,57.32,0,41.22,32.95,0,28.57,0,0,0,14.29,0,40,57.14,0,66.67,20,100,58.79,61.18,0,68.6,54.55
4A,55.79,100,32.84,30,0,50,42.86,0,33.33,100,0,52.63,18.18,0,50,28.57,50,60.35,59.55,0,62.08,46.94
4B,54.56,0,32.97,36.27,0,66.67,66.67,0,0,0,0,46.67,44.44,0,75,50,100,59.77,54.03,0,65.43,48.77
4C,51.37,50,32.04,35.23,0,23.08,12.5,0,0,25,0,33.33,43.75,0,50,40,0,52.54,57.44,0,53.25,57.81
5A,55.41,100,31.46,34.86,0,50,60,0,0,50,0,37.5,37.93,0,33.33,66.67,80,57.76,61.9,0,60.28,46.60
5B,51.48,75,34.75,30.04,0,40,36.36,0,33.33,20,0,28.57,39.02,0,27.27,18.75,0,56.01,56.31,100,60.35,45.33
5C,59.39,33.33,45.92,40,0,50,33.33,0,0,0,0,61.54,41.67,0,47.37,63.64,0,61.93,63.84,0,60.54,58.02
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,56.18,63.16,38.6,33.66,0.0,44.19,38.71,,34.48,31.71,100.0,42.45,42.76,0.0,48.48,39.36,62.07,59.88,60.21,50.0,60.93,49.64
