,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,31.53,42.65,0.0
1,OTHER,37.93,54.05,0.0
2,NATIVE AMERICAN,50.0,0.0,0.0
3,LATINO,37.14,42.0,0.0
4,ASIAN-PACIFIC,25.81,44.44,0.0
5,WHITE,30.26,40.7,0.0
6,BLACK,43.25,58.68,66.67
