PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
ARMUCHEE,0,36.96,29.63,0,0,0,0,0,0,0,40,50,0,0,0,0,63.24,68.76,0,63.16,36.00,61.86
BARKERS,0,40.28,36.11,0,0,60,0,66.67,0,0,55.56,42.86,0,100,0,0,62.49,63.52,0,73.08,34.78,60.96
CAVE SPRING,100,26.09,27.27,0,50,0,0,0,0,0,0,60,0,66.67,33.33,0,56.8,58.72,0,46.67,41.86,54.75
CHULIO,0,30,36,0,0,100,0,100,0,0,100,0,0,50,100,0,62.37,66.03,0,73.91,82.35,61.8
ETOWAH,0,34.48,28.18,0,20,50,0,100,100,0,40,31.25,0,28.57,40,100,64.79,65.42,50,63.33,51.43,61.61
EVERETT SPRINGS,0,50,41.18,0,0,0,0,0,0,0,0,0,0,100,100,100,63.24,66.85,0,0,0,62.68
FLOYD SPRINGS,0,44.07,34.25,0,50,0,0,0,50,0,66.67,66.67,0,60,0,0,67.54,68.41,0,58.33,46.67,65.05
FOSTER'S MILL,100,42.31,41.67,0,50,0,0,100,0,0,66.67,100,0,50,0,100,62.72,65.36,0,50,53.33,62.17
GARDEN LAKES,100,29.03,26.05,0,0,0,0,0,0,0,42.62,29.31,0,36.36,9.09,0,57.74,58.63,0,50.79,45.98,52.06
GLENWOOD,100,31.89,29.49,0,30,46.15,0,0,0,0,37.14,53.33,0,22.22,25,0,52.96,56.73,0,47.27,37.50,50.59
HOWELL,100,32.79,30.61,0,0,0,0,0,0,0,75,0,0,0,66.67,0,64.32,65.98,0,66.67,35.71,61.92
EAST LINDALE,0,33.08,28.93,0,20,50,0,100,100,0,58.82,18.75,0,50,15.38,50,61.59,65.09,0,55.45,54.03,59.3
MT ALTO NORTH,0,31.91,20.92,0,36.36,33.33,0,0,0,0,41.32,37.98,0,38.46,45.45,0,51.24,56.74,0,51.12,40.11,47.37
MT ALTO SOUTH,100,32.16,24.66,0,0,38.46,0,0,0,0,48.57,31.86,0,40,38.46,0,62.64,62.65,0,59.04,49.24,55.53
NORTH CAROLINA,100,31.82,18.37,0,40,0,0,0,0,0,50,44.44,0,0,0,0,53.24,54.99,0,41.03,39.39,50.06
RIVERSIDE,100,22,25.81,0,50,0,0,0,0,0,16.67,25,0,50,0,0,59.83,55.3,0,56.67,41.38,53.07
EAST ROME,100,29.95,26.78,100,50,16.67,0,0,0,0,34.29,37.04,0,40.91,14.29,33.33,58.29,60.09,0,47.27,41.33,51.58
NORTH ROME,0,34.01,29.1,0,33.33,20,0,100,0,0,33.33,28.57,0,54.55,60,0,59.73,67.56,0,52.11,45.37,54.77
SOUTH ROME,0,32.53,17.02,0,28.57,0,0,0,0,0,30.77,23.53,0,0,66.67,0,45.42,48.13,0,61.08,45.56,47.43
TEXAS VALLEY,0,56.25,34.62,0,0,0,0,0,0,0,100,100,0,100,0,0,73.56,69.94,0,0,0,69.24
VANNS VALLEY,0,24.44,26.83,0,0,100,0,0,0,0,44.44,36.36,0,42.86,33.33,100,47.18,51.71,0,52.38,35.29,46.25
WATTERS,0,28.33,26.92,0,40,0,0,0,0,0,33.33,33.33,0,60,66.67,50,57.19,60.27,0,65.12,38.10,55.68
WEST LINDALE,0,30.88,26.28,0,50,28.57,0,0,100,0,38.89,22.22,0,20,16.67,0,55.63,58.92,0,52.27,38.89,52.98
TOWN ROME,0,30.5,29.27,0,41.67,50,0,0,0,0,55.17,42.42,100,42.31,28.12,0,58.87,59.2,0,46.74,32.65,51.86
TOTAL,81.82,32.37,26.98,50.0,31.45,35.64,,35.0,39.13,0.0,43.83,34.36,50.0,40.26,31.58,53.85,59.11,61.63,33.33,53.34,43.8,55.16
