PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,8.0
EAST MACON 1,3.0,69.0,77.0,0.0,7.0,6.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,2.0,4.0,0.0,50.0,42.0,0.0,1104.0,816.0,2192.0
EAST MACON 2,2.0,107.0,111.0,0.0,17.0,14.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,6.0,3.0,0.0,136.0,115.0,4.0,1928.0,1381.0,3837.0
EAST MACON 3,2.0,92.0,127.0,0.0,16.0,19.0,0.0,4.0,3.0,0.0,16.0,9.0,0.0,7.0,5.0,1.0,653.0,616.0,0.0,1086.0,801.0,3457.0
EAST MACON 4,2.0,53.0,63.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,1.0,0.0,76.0,57.0,2.0,1115.0,800.0,2194.0
EAST MACON 5,0.0,70.0,87.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,10.0,11.0,0.0,4.0,8.0,0.0,310.0,306.0,2.0,883.0,700.0,2403.0
GODFREY 1,0.0,157.0,235.0,0.0,40.0,28.0,0.0,5.0,4.0,0.0,26.0,26.0,0.0,48.0,39.0,1.0,479.0,506.0,3.0,2777.0,2073.0,6447.0
GODFREY 2,6.0,60.0,109.0,0.0,8.0,18.0,0.0,1.0,2.0,0.0,12.0,14.0,0.0,4.0,2.0,0.0,132.0,131.0,0.0,818.0,800.0,2117.0
GODFREY 3,5.0,95.0,119.0,0.0,9.0,11.0,0.0,2.0,0.0,0.0,5.0,4.0,0.0,3.0,2.0,0.0,187.0,145.0,1.0,1563.0,1124.0,3275.0
GODFREY 4,1.0,79.0,86.0,1.0,9.0,13.0,0.0,1.0,2.0,0.0,20.0,9.0,0.0,1.0,3.0,1.0,183.0,158.0,3.0,1057.0,698.0,2325.0
GODFREY 5,2.0,119.0,162.0,0.0,20.0,14.0,0.0,2.0,2.0,0.0,22.0,20.0,0.0,6.0,2.0,1.0,292.0,222.0,2.0,2241.0,1520.0,4649.0
HAZZARD 1,2.0,106.0,98.0,0.0,15.0,12.0,0.0,2.0,8.0,1.0,26.0,11.0,0.0,8.0,17.0,0.0,210.0,193.0,3.0,1701.0,1139.0,3552.0
HAZZARD 2,1.0,120.0,129.0,0.0,19.0,14.0,0.0,5.0,3.0,1.0,33.0,27.0,0.0,24.0,21.0,0.0,1081.0,933.0,0.0,1031.0,715.0,4157.0
HAZZARD 3,3.0,172.0,202.0,0.0,40.0,22.0,0.0,5.0,4.0,0.0,50.0,31.0,0.0,41.0,43.0,1.0,1031.0,897.0,3.0,2575.0,1842.0,6962.0
HAZZARD 4,1.0,54.0,59.0,0.0,14.0,13.0,0.0,0.0,3.0,0.0,7.0,7.0,1.0,27.0,28.0,1.0,718.0,647.0,0.0,309.0,210.0,2099.0
HOWARD 1,1.0,103.0,115.0,0.0,29.0,28.0,0.0,4.0,2.0,0.0,33.0,19.0,1.0,54.0,56.0,0.0,1393.0,1105.0,2.0,777.0,510.0,4232.0
HOWARD 2,1.0,84.0,78.0,0.0,19.0,16.0,0.0,1.0,0.0,0.0,20.0,13.0,0.0,44.0,51.0,2.0,1581.0,1253.0,0.0,383.0,256.0,3802.0
HOWARD 3,6.0,269.0,259.0,0.0,73.0,61.0,0.0,8.0,8.0,0.0,76.0,48.0,1.0,127.0,151.0,5.0,2936.0,2545.0,3.0,1426.0,841.0,8843.0
HOWARD 4,0.0,56.0,41.0,0.0,13.0,6.0,0.0,0.0,1.0,0.0,8.0,7.0,0.0,17.0,16.0,0.0,525.0,431.0,1.0,315.0,203.0,1640.0
HOWARD 5,0.0,45.0,40.0,0.0,10.0,6.0,0.0,1.0,1.0,0.0,8.0,14.0,0.0,6.0,13.0,0.0,476.0,342.0,0.0,360.0,250.0,1572.0
HOWARD 6,0.0,82.0,57.0,0.0,6.0,14.0,0.0,1.0,0.0,0.0,17.0,10.0,0.0,9.0,16.0,1.0,838.0,677.0,1.0,313.0,199.0,2241.0
HOWARD 7,2.0,49.0,57.0,0.0,8.0,6.0,0.0,3.0,1.0,0.0,8.0,9.0,1.0,13.0,10.0,0.0,1028.0,939.0,1.0,218.0,160.0,2513.0
RUTLAND 1,5.0,136.0,176.0,0.0,16.0,14.0,0.0,4.0,3.0,0.0,43.0,24.0,0.0,36.0,31.0,2.0,1769.0,1569.0,2.0,861.0,712.0,5403.0
RUTLAND 2,3.0,78.0,110.0,0.0,7.0,13.0,0.0,1.0,5.0,0.0,24.0,18.0,0.0,10.0,10.0,1.0,1160.0,1029.0,0.0,427.0,363.0,3259.0
VINEVILLE 1,2.0,113.0,134.0,1.0,27.0,20.0,0.0,4.0,3.0,0.0,28.0,13.0,0.0,14.0,14.0,4.0,1008.0,863.0,1.0,838.0,634.0,3721.0
VINEVILLE 2,2.0,58.0,69.0,0.0,13.0,5.0,0.0,1.0,2.0,0.0,17.0,13.0,0.0,7.0,9.0,0.0,460.0,339.0,5.0,662.0,528.0,2190.0
VINEVILLE 3,0.0,85.0,104.0,0.0,10.0,10.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,3.0,2.0,1.0,130.0,118.0,0.0,1469.0,1066.0,3009.0
VINEVILLE 4,0.0,120.0,126.0,0.0,20.0,11.0,0.0,3.0,0.0,0.0,11.0,5.0,1.0,10.0,3.0,1.0,268.0,218.0,2.0,1889.0,1375.0,4063.0
VINEVILLE 5,2.0,53.0,55.0,0.0,10.0,10.0,0.0,4.0,1.0,0.0,20.0,9.0,0.0,17.0,11.0,2.0,886.0,756.0,0.0,256.0,198.0,2290.0
VINEVILLE 6,4.0,75.0,72.0,0.0,12.0,12.0,0.0,1.0,3.0,0.0,19.0,11.0,0.0,13.0,9.0,1.0,1102.0,808.0,0.0,577.0,350.0,3069.0
WARRIOR 1,1.0,57.0,70.0,0.0,11.0,3.0,0.0,3.0,1.0,0.0,6.0,5.0,0.0,5.0,4.0,1.0,889.0,817.0,0.0,314.0,289.0,2476.0
WARRIOR 2,0.0,69.0,74.0,0.0,9.0,13.0,0.0,3.0,0.0,0.0,14.0,12.0,0.0,21.0,13.0,0.0,999.0,903.0,1.0,467.0,397.0,2995.0
TOTAL,59.0,2885.0,3301.0,2.0,521.0,439.0,0.0,72.0,68.0,2.0,610.0,410.0,5.0,588.0,597.0,27.0,22988.0,19682.0,42.0,31740.0,22954.0,106992.0
