PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
LOCUST GROVE,0.0,169.0,139.0,0.0,51.0,27.0,0.0,0.0,4.0,0.0,35.0,30.0,0.0,17.0,12.0,2.0,626.0,580.0,0.0,1114.0,668.0,3474.0
TUSSAHAW,0.0,59.0,74.0,0.0,19.0,9.0,0.0,1.0,0.0,0.0,9.0,11.0,0.0,7.0,4.0,0.0,864.0,808.0,0.0,83.0,59.0,2007.0
SANDY RIDGE,1.0,114.0,85.0,0.0,17.0,20.0,0.0,1.0,2.0,0.0,25.0,19.0,0.0,11.0,7.0,1.0,1096.0,974.0,0.0,217.0,163.0,2753.0
WESTSIDE,0.0,175.0,88.0,0.0,50.0,25.0,0.0,0.0,1.0,0.0,47.0,25.0,0.0,6.0,5.0,0.0,247.0,205.0,4.0,1451.0,666.0,2995.0
LOWES,2.0,242.0,175.0,0.0,88.0,51.0,0.0,0.0,2.0,0.0,89.0,60.0,0.0,30.0,18.0,1.0,899.0,843.0,4.0,1631.0,1050.0,5185.0
SOUTH HAMPTON,0.0,128.0,112.0,0.0,33.0,26.0,0.0,2.0,0.0,0.0,41.0,27.0,0.0,9.0,3.0,1.0,801.0,708.0,0.0,762.0,449.0,3102.0
NORTH HAMPTON,1.0,185.0,116.0,0.0,40.0,31.0,0.0,2.0,2.0,0.0,66.0,36.0,0.0,12.0,7.0,1.0,873.0,710.0,0.0,1153.0,642.0,3877.0
MOUNT CARMEL,1.0,162.0,150.0,0.0,66.0,42.0,0.0,1.0,0.0,0.0,37.0,30.0,0.0,48.0,37.0,0.0,286.0,264.0,1.0,1203.0,793.0,3121.0
RED OAK,5.0,161.0,134.0,0.0,53.0,35.0,0.0,1.0,0.0,0.0,51.0,40.0,1.0,92.0,90.0,0.0,195.0,178.0,0.0,1476.0,893.0,3405.0
WESLEY LAKES,1.0,158.0,96.0,1.0,52.0,33.0,0.0,1.0,0.0,0.0,40.0,39.0,0.0,14.0,9.0,0.0,458.0,367.0,0.0,1126.0,676.0,3071.0
MCDONOUGH,0.0,83.0,49.0,0.0,28.0,12.0,0.0,1.0,0.0,0.0,19.0,10.0,0.0,6.0,2.0,1.0,226.0,195.0,0.0,476.0,285.0,1393.0
MCMULLEN,0.0,79.0,76.0,0.0,19.0,16.0,0.0,0.0,0.0,0.0,23.0,15.0,0.0,14.0,5.0,0.0,852.0,792.0,1.0,249.0,155.0,2296.0
EAST LAKE,1.0,94.0,83.0,0.0,20.0,14.0,0.0,0.0,1.0,0.0,21.0,8.0,0.0,8.0,16.0,1.0,865.0,758.0,0.0,179.0,126.0,2195.0
HICKORY FLAT,1.0,157.0,121.0,0.0,50.0,38.0,0.0,0.0,0.0,0.0,34.0,27.0,0.0,34.0,36.0,1.0,567.0,498.0,0.0,1053.0,642.0,3259.0
STOCKBRIDGE EAST-,1.0,194.0,105.0,0.0,65.0,42.0,0.0,2.0,0.0,0.0,75.0,49.0,0.0,35.0,33.0,0.0,282.0,259.0,3.0,1753.0,856.0,3754.0
STAGECOACH,1.0,88.0,46.0,0.0,26.0,15.0,0.0,1.0,0.0,0.0,34.0,24.0,0.0,7.0,4.0,0.0,433.0,395.0,0.0,506.0,300.0,1880.0
COTTON INDIAN,1.0,106.0,69.0,0.0,32.0,21.0,0.0,0.0,0.0,0.0,30.0,27.0,0.0,20.0,10.0,2.0,608.0,558.0,1.0,704.0,453.0,2642.0
PLEASANT GROVE,1.0,96.0,90.0,0.0,26.0,33.0,0.0,1.0,0.0,0.0,20.0,16.0,0.0,14.0,12.0,2.0,760.0,694.0,0.0,502.0,375.0,2642.0
AUSTIN ROAD,0.0,101.0,73.0,0.0,26.0,24.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,10.0,5.0,1.0,379.0,308.0,0.0,698.0,514.0,2176.0
SWAN LAKE,0.0,81.0,63.0,0.0,11.0,13.0,0.0,1.0,1.0,0.0,18.0,15.0,0.0,6.0,3.0,0.0,638.0,592.0,0.0,419.0,279.0,2140.0
SHAKERAG,0.0,97.0,90.0,0.0,33.0,12.0,0.0,2.0,2.0,0.0,14.0,11.0,0.0,1.0,1.0,0.0,132.0,134.0,0.0,1159.0,756.0,2444.0
ELLENWOOD,1.0,118.0,105.0,0.0,30.0,19.0,0.0,0.0,2.0,0.0,15.0,8.0,0.0,7.0,1.0,0.0,219.0,218.0,1.0,1216.0,876.0,2836.0
UNITY GROVE,1.0,112.0,107.0,0.0,18.0,22.0,0.0,0.0,4.0,0.0,22.0,23.0,0.0,6.0,7.0,2.0,1098.0,986.0,0.0,303.0,188.0,2899.0
SHILOH,1.0,128.0,61.0,0.0,43.0,16.0,0.0,1.0,2.0,0.0,31.0,19.0,0.0,7.0,1.0,0.0,358.0,271.0,0.0,815.0,396.0,2150.0
PATES CREEK,1.0,128.0,95.0,0.0,43.0,28.0,0.0,2.0,3.0,0.0,49.0,20.0,0.0,37.0,26.0,1.0,703.0,649.0,1.0,867.0,493.0,3146.0
OAKLAND,1.0,141.0,86.0,0.0,37.0,18.0,0.0,2.0,1.0,0.0,27.0,23.0,0.0,18.0,19.0,0.0,715.0,625.0,1.0,643.0,418.0,2775.0
LAKE DOW,1.0,129.0,109.0,0.0,33.0,26.0,0.0,0.0,1.0,0.0,30.0,20.0,0.0,17.0,8.0,2.0,1098.0,983.0,2.0,423.0,288.0,3170.0
FLIPPEN,1.0,160.0,111.0,0.0,61.0,49.0,0.0,0.0,0.0,0.0,36.0,22.0,0.0,74.0,71.0,1.0,491.0,400.0,1.0,841.0,584.0,2903.0
STOCKBRIDGE CENTRAL,4.0,123.0,83.0,0.0,40.0,13.0,0.0,3.0,3.0,0.0,55.0,33.0,0.0,16.0,19.0,0.0,358.0,290.0,0.0,821.0,427.0,2288.0
KELLEYTOWN,0.0,105.0,98.0,0.0,27.0,15.0,0.0,1.0,0.0,0.0,9.0,13.0,0.0,3.0,1.0,1.0,782.0,709.0,1.0,306.0,230.0,2301.0
LIGHTHOUSE,1.0,76.0,73.0,0.0,32.0,21.0,0.0,3.0,0.0,0.0,22.0,14.0,0.0,7.0,6.0,0.0,475.0,424.0,0.0,733.0,468.0,2355.0
DUTCHTOWN,0.0,81.0,67.0,0.0,23.0,14.0,0.0,3.0,0.0,1.0,26.0,19.0,0.0,10.0,4.0,1.0,489.0,438.0,1.0,283.0,213.0,1673.0
MT. BETHEL,2.0,80.0,66.0,0.0,19.0,16.0,0.0,0.0,5.0,0.0,7.0,6.0,0.0,2.0,2.0,2.0,769.0,726.0,1.0,202.0,146.0,2051.0
GROVE PARK,2.0,93.0,70.0,0.0,21.0,22.0,0.0,1.0,0.0,0.0,24.0,12.0,0.0,2.0,4.0,0.0,613.0,541.0,0.0,332.0,197.0,1934.0
LAKE HAVEN,0.0,100.0,84.0,0.0,26.0,19.0,0.0,1.0,1.0,0.0,28.0,27.0,0.0,8.0,10.0,0.0,797.0,751.0,0.0,453.0,307.0,2612.0
MCDONOUGH CENTRAL,0.0,118.0,65.0,0.0,34.0,20.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,11.0,3.0,1.0,646.0,509.0,0.0,638.0,393.0,2475.0
TIMBERRIDGE,0.0,50.0,56.0,0.0,15.0,6.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,10.0,5.0,0.0,467.0,425.0,0.0,160.0,122.0,1332.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,33.0,4471.0,3370.0,1.0,1307.0,863.0,0.0,34.0,37.0,1.0,1163.0,814.0,1.0,636.0,506.0,25.0,22165.0,19765.0,23.0,26950.0,16546.0,98711.0
