,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,30.91,50.68,0.0
1,OTHER,60.0,40.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,33.33,53.33,0.0
4,ASIAN-PACIFIC,40.0,100.0,0.0
5,WHITE,71.43,66.07,0.0
6,BLACK,32.28,44.76,0.0
