RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,27.91,25.22,0.0,26.64
OTHER,36.36,47.37,0.0,43.33
NATIVE-AM,0.0,33.33,0.0,16.67
HISP-LT,32.14,60.53,0.0,48.48
ASIA-PI,20.0,60.0,0.0,37.5
WHITE,54.59,52.63,0.0,53.51
BLACK,45.54,66.17,0.0,57.08
TOTAL,47.06,53.33,0.0,50.42
