,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,34.55,33.16,0.0
1,OTHER,48.08,50.85,0.0
2,NATIVE AMERICAN,0.0,80.0,0.0
3,LATINO,53.91,55.93,0.0
4,ASIAN-PACIFIC,38.46,40.91,0.0
5,WHITE,52.08,55.16,100.0
6,BLACK,53.57,63.75,0.0
