PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
COLLINS,0,30.77,38.46,0,0,0,0,0,0,0,0,0,0,0,50,100,66.43,69.01,0,50,50.00,64.3
COMER,100,44.3,39.71,0,50,100,0,0,0,0,50,100,0,54.55,30,50,66.15,69.65,0,63.3,44.19,62.37
DANIELSVILLE,0,44.44,30.97,0,71.43,42.86,0,0,0,0,42.86,55.56,0,33.33,50,0,63.67,67.34,0,62.96,48.00,62.42
FORK,0,56.52,28.57,0,75,100,0,0,100,0,50,0,0,50,0,0,56.08,63.21,0,72.09,63.64,59.2
HARRISON,0,35.71,41.38,0,0,0,0,0,0,0,50,0,0,50,100,0,72.88,74.07,0,0,0,69.33
HULL,0,35.51,31.54,0,58.82,46.15,0,0,100,0,43.94,36.84,0,40,30,50,63.15,65.38,0,64.38,44.01,58.38
ILA,0,23.88,29.23,0,100,33.33,0,50,0,0,57.14,50,0,20,50,0,61.86,63.78,0,42.86,50.00,59.11
MILL,100,38.24,35.06,0,66.67,50,0,0,100,0,50,100,0,50,100,100,66.3,68.46,0,40,50.00,64.16
PAOLI,0,25,66.67,0,0,0,0,0,100,0,0,0,0,50,0,100,75.68,77.06,0,50,33.33,73.66
PITTMAN,0,42.5,34.09,0,50,25,0,0,0,0,37.5,50,0,50,42.86,100,71.04,71.49,0,56.41,35.29,66.63
TOTAL,28.57,37.78,32.79,,61.9,45.0,,12.5,100.0,,45.13,46.15,,39.34,40.82,53.85,65.05,67.57,,63.85,45.61,61.93
