,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,43.75,51.26,0.0
1,OTHER,43.18,49.15,100.0
2,NATIVE AMERICAN,50.0,77.78,0.0
3,LATINO,48.48,54.97,100.0
4,ASIAN-PACIFIC,47.56,41.86,33.33
5,WHITE,59.91,63.24,50.0
6,BLACK,56.52,69.6,75.0
