,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,35.0,31.82,0.0
1,OTHER,0.0,0.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,0.0,50.0,0.0
4,ASIAN-PACIFIC,0.0,0.0,0.0
5,WHITE,66.67,64.56,0.0
6,BLACK,45.21,65.0,0.0
