,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,50.42,52.08,0.0
1,OTHER,50.0,66.67,0.0
2,NATIVE AMERICAN,75.0,66.67,0.0
3,LATINO,71.43,55.81,0.0
4,ASIAN-PACIFIC,36.36,25.0,0.0
5,WHITE,63.91,62.79,100.0
6,BLACK,53.16,55.95,0.0
