RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,56.52,60.00,100.0,58.58
OTHER,57.69,72.73,0.00,67.14
NATIVE-AM,66.67,100.0,0.00,80.00
HISP-LT,59.09,70.37,0.00,65.31
ASIA-PI,63.64,75.76,0.00,69.70
WHITE,68.82,71.13,100.0,70.05
BLACK,52.05,59.57,0.00,56.27
TOTAL,62.52,66.32,75.00,64.57
