,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,65.82,61.76,0.0
1,OTHER,80.0,100.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,75.0,83.33,0.0
4,ASIAN-PACIFIC,71.43,60.0,0.0
5,WHITE,74.08,71.31,0.0
6,BLACK,64.71,60.0,0.0
