PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
1B,57.7,0,41.18,42.86,0,0,100,0,0,0,0,0,0,0,0,0,0,66.67,69.7,0,64.88,46.85
2A,56.76,0,47.62,13.64,0,100,0,0,0,0,0,0,50,0,0,100,0,67.47,68.75,0,62.95,47.15
2B,64.05,0,41.67,33.33,0,0,100,0,0,0,0,0,0,0,0,0,0,48.48,74.07,0,69.77,61.96
3A,55.06,0,20,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,78.95,70,0,60.12,48.12
3B,57.98,0,75,13.33,0,33.33,66.67,0,0,100,0,0,0,0,0,0,0,70.83,71.79,0,67.95,43.07
3C,68.16,0,50,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,73.68,69.05,0,80,56.52
4A,60.23,0,45,17.65,0,0,0,0,0,0,0,0,0,0,0,100,0,76.06,68.35,0,65.97,51.73
4B,67.11,0,42.86,12.5,0,50,0,0,0,0,0,0,100,0,0,0,0,58.21,71.19,0,70.08,72.82
4C,64.71,0,66.67,50,0,0,0,0,0,0,0,0,100,0,0,0,0,75,60,0,74.14,54.72
88888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,59.92,0.0,47.0,21.15,,36.36,50.0,,,100.0,,0.0,50.0,,0.0,100.0,,68.09,69.23,0.0,66.17,51.07
