,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,19.44,32.0,0.0
1,OTHER,0.0,0.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,25.0,50.0,0.0
4,ASIAN-PACIFIC,0.0,0.0,0.0
5,WHITE,50.68,48.91,0.0
6,BLACK,33.33,16.67,0.0
