,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,41.76,49.49,0.0
1,OTHER,70.97,77.78,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,66.67,71.43,0.0
4,ASIAN-PACIFIC,50.49,59.82,0.0
5,WHITE,67.26,68.39,50.0
6,BLACK,72.09,65.57,0.0
