,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,19.23,38.3,0.0
1,OTHER,43.75,41.67,0.0
2,NATIVE AMERICAN,100.0,50.0,0.0
3,LATINO,35.29,23.53,0.0
4,ASIAN-PACIFIC,0.0,20.0,0.0
5,WHITE,41.48,45.34,0.0
6,BLACK,42.08,58.54,25.0
