,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,38.33,38.33,0.0
1,OTHER,0.0,50.0,0.0
2,NATIVE AMERICAN,100.0,0.0,0.0
3,LATINO,50.0,0.0,0.0
4,ASIAN-PACIFIC,50.0,0.0,0.0
5,WHITE,68.26,60.72,50.0
6,BLACK,53.85,56.25,0.0
