PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
02,41.78,25,30.09,23.2,100,33.33,33.33,0,25,0,0,20,33.33,0,22.22,0,50,43.64,43.53,100,50.64,30.53
03,53.54,66.67,37.5,32.52,0,45.45,25,0,0,0,100,37.5,28.57,0,14.71,22.22,100,54.02,56.28,33.33,61.95,48.20
04,42.67,33.33,33.93,20,0,22.22,9.09,0,0,0,0,25,0,0,0,0,0,31.87,25,100,51.1,35.96
05,49.12,0,40.32,31.67,0,28.57,25,0,100,0,0,33.33,0,0,14.29,20,0,51.7,48.04,0,54.86,44.65
06,53.73,50,37.36,31.09,0,23.53,27.27,0,0,100,0,43.75,18.75,0,20,33.33,0,55.65,60.62,0,57.34,42.86
07,63.99,33.33,35.48,43.24,0,40,33.33,0,0,50,0,60,33.33,0,37.5,50,100,65.25,66.72,0,68.82,57.76
08,65.4,0,45.83,44.94,0,11.11,71.43,0,0,0,0,47.37,53.33,0,25,28.57,0,67.02,67.61,0,69.05,55.56
09,65.42,0,44.68,38.6,100,50,50,0,0,0,0,87.5,40,0,25,83.33,0,68.85,68.05,0,70.03,55.98
10,63.59,100,47.92,40,0,47.06,42.86,0,0,0,0,42.11,63.64,0,80,33.33,50,64.13,65.03,0,75.21,59.67
11,61.18,33.33,38.1,39.39,100,50,11.11,0,0,0,0,37.5,37.5,0,40,50,100,63.14,61.37,0,71.78,58.82
12,55.49,0,42.86,24.32,0,36.36,40,0,0,50,0,30.77,25,0,23.53,15.38,0,57.16,56.6,0,67.17,52.85
13,60.58,66.67,49.15,37.5,100,80,25,100,100,0,0,42.86,77.78,0,40,37.5,50,63.13,60.34,0,72.31,50.60
15,57.03,100,39.22,41.94,100,25,33.33,0,100,0,0,0,0,0,30,38.89,0,53.45,58.36,0,68.82,55.47
16,57.82,100,41.56,28.57,0,77.78,22.22,0,50,0,0,53.33,56.25,0,50,60,100,63.86,63.5,0,59.02,39.35
88888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,56.09,42.86,39.77,33.94,100.0,39.87,29.75,100.0,38.46,37.5,100.0,41.71,37.82,0.0,28.03,32.59,64.29,60.48,61.31,44.44,58.9,43.93
