,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,30.07,50.29,0.0
1,OTHER,44.12,54.17,0.0
2,NATIVE AMERICAN,0.0,100.0,0.0
3,LATINO,42.11,57.63,0.0
4,ASIAN-PACIFIC,23.53,38.89,0.0
5,WHITE,53.38,54.06,0.0
6,BLACK,50.42,63.17,0.0
