PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BROOKS,2.0,119.0,118.0,0.0,8.0,5.0,0.0,2.0,3.0,0.0,15.0,10.0,0.0,4.0,3.0,3.0,1036.0,1023.0,0.0,35.0,23.0,2409.0
EUROPE,1.0,199.0,194.0,0.0,33.0,21.0,0.0,2.0,2.0,0.0,28.0,19.0,0.0,20.0,18.0,1.0,178.0,151.0,4.0,1242.0,1044.0,3157.0
FAYETTEVILLE EAST,0.0,129.0,106.0,0.0,14.0,10.0,0.0,2.0,2.0,1.0,31.0,25.0,0.0,12.0,16.0,3.0,537.0,428.0,1.0,417.0,279.0,2013.0
FAYETTEVILLE WEST,0.0,148.0,130.0,0.0,10.0,16.0,0.0,0.0,1.0,0.0,33.0,24.0,0.0,35.0,22.0,3.0,558.0,461.0,0.0,371.0,254.0,2066.0
FLINT,1.0,94.0,82.0,0.0,16.0,10.0,0.0,1.0,4.0,0.0,30.0,21.0,0.0,23.0,10.0,1.0,371.0,337.0,1.0,319.0,310.0,1631.0
HOPEFUL,1.0,124.0,128.0,0.0,15.0,13.0,0.0,1.0,1.0,0.0,31.0,29.0,0.0,21.0,16.0,2.0,442.0,416.0,1.0,449.0,364.0,2054.0
MORNING CREEK,0.0,194.0,181.0,0.0,27.0,22.0,0.0,1.0,4.0,0.0,41.0,33.0,0.0,24.0,25.0,0.0,649.0,585.0,3.0,674.0,538.0,3001.0
RAREOVER,4.0,193.0,188.0,0.0,12.0,13.0,0.0,1.0,2.0,0.0,32.0,30.0,0.0,12.0,12.0,3.0,1136.0,1001.0,0.0,170.0,152.0,2961.0
SANDY CREEK,3.0,296.0,270.0,0.0,43.0,28.0,0.0,3.0,0.0,0.0,89.0,76.0,0.0,52.0,46.0,1.0,965.0,880.0,1.0,938.0,807.0,4498.0
SHAKERAG EAST,0.0,105.0,121.0,0.0,13.0,13.0,0.0,2.0,1.0,1.0,40.0,21.0,0.0,24.0,14.0,4.0,584.0,535.0,1.0,66.0,58.0,1603.0
