,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,47.16,45.45,0.0
1,OTHER,58.82,42.86,0.0
2,NATIVE AMERICAN,50.0,50.0,0.0
3,LATINO,43.28,50.0,0.0
4,ASIAN-PACIFIC,30.0,48.39,0.0
5,WHITE,62.95,61.11,50.0
6,BLACK,62.15,69.63,0.0
