,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,50.0,45.62,0.0
1,OTHER,55.56,50.0,0.0
2,NATIVE AMERICAN,0.0,100.0,0.0
3,LATINO,48.28,28.57,0.0
4,ASIAN-PACIFIC,54.55,62.86,0.0
5,WHITE,63.32,66.53,100.0
6,BLACK,69.57,70.0,0.0
