,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,39.2,50.76,0.0
1,OTHER,44.44,41.67,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,60.0,0.0,0.0
4,ASIAN-PACIFIC,0.0,0.0,0.0
5,WHITE,45.16,42.31,0.0
6,BLACK,38.49,53.44,25.0
