,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,16.54,27.36,0.0
1,OTHER,33.33,25.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,20.0,50.0,0.0
4,ASIAN-PACIFIC,0.0,50.0,0.0
5,WHITE,46.03,45.26,33.33
6,BLACK,51.15,61.66,16.67
