RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,53.85,57.89,0.0,55.56
OTHER,33.33,75.0,0.0,57.14
NATIVE-AM,0.0,0.0,0.0,0.0
HISP-LT,28.57,0.0,0.0,22.22
ASIA-PI,0.0,100.0,0.0,100.0
WHITE,75.53,77.78,0.0,76.69
BLACK,70.9,81.05,0.0,75.9
TOTAL,71.29,78.74,0.0,75.0
