,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,44.22,50.21,0.0
1,OTHER,42.55,68.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,41.67,50.0,0.0
4,ASIAN-PACIFIC,15.79,45.83,0.0
5,WHITE,66.1,69.54,100.0
6,BLACK,54.06,62.24,0.0
