RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,15.49,43.68,50.00,31.25
OTHER,50.00,41.18,0.00,44.00
NATIVE-AM,0.00,50.00,0.00,33.33
HISP-LT,16.67,16.67,0.00,16.67
ASIA-PI,11.11,28.57,0.00,18.75
WHITE,47.08,55.51,0.00,51.18
BLACK,42.81,61.68,0.00,53.27
TOTAL,41.70,58.67,33.33,50.94
