PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
02 BRANDYWINE,9.0,486.0,385.0,0.0,45.0,39.0,0.0,6.0,5.0,0.0,110.0,90.0,1.0,136.0,146.0,6.0,988.0,911.0,3.0,323.0,200.0,3889.0
03 BROWNS BRIDGE,2.0,596.0,658.0,0.0,16.0,18.0,0.0,2.0,1.0,0.0,68.0,53.0,0.0,23.0,7.0,9.0,2170.0,2075.0,0.0,26.0,21.0,5745.0
04 CHESTATEE,2.0,371.0,431.0,0.0,10.0,10.0,0.0,2.0,4.0,0.0,35.0,21.0,0.0,7.0,4.0,5.0,1505.0,1404.0,0.0,7.0,4.0,3822.0
05 COAL MOUNTAIN,7.0,390.0,360.0,0.0,24.0,15.0,0.0,1.0,1.0,0.0,44.0,30.0,0.0,23.0,15.0,6.0,1335.0,1199.0,0.0,76.0,50.0,3576.0
06 CROSSROADS,4.0,391.0,410.0,0.0,24.0,7.0,0.0,1.0,3.0,0.0,45.0,33.0,0.0,17.0,10.0,5.0,1536.0,1308.0,0.0,22.0,17.0,3833.0
07 CUMMING,6.0,219.0,182.0,0.0,11.0,7.0,0.0,0.0,2.0,0.0,43.0,19.0,0.0,19.0,12.0,1.0,641.0,492.0,0.0,22.0,8.0,1684.0
08 MASHBURN,8.0,539.0,524.0,0.0,23.0,23.0,0.0,1.0,4.0,0.0,44.0,23.0,0.0,34.0,17.0,3.0,2025.0,1837.0,0.0,36.0,34.0,5175.0
10 MIDWAY,12.0,1163.0,1169.0,0.0,67.0,51.0,0.0,14.0,3.0,2.0,135.0,129.0,0.0,179.0,152.0,15.0,4181.0,3836.0,0.0,213.0,154.0,11475.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 HEARDSVILLE,5.0,499.0,511.0,0.0,28.0,18.0,0.0,5.0,3.0,0.0,50.0,48.0,1.0,24.0,16.0,0.0,2018.0,1816.0,0.0,33.0,37.0,5112.0
16 OTWELL,8.0,764.0,703.0,0.0,36.0,34.0,1.0,5.0,1.0,0.0,128.0,88.0,1.0,47.0,36.0,9.0,2706.0,2345.0,0.0,90.0,68.0,7070.0
19 OLD ATLANTA,10.0,373.0,368.0,0.0,35.0,35.0,0.0,4.0,4.0,0.0,38.0,29.0,2.0,335.0,342.0,0.0,1120.0,1076.0,0.0,93.0,78.0,3942.0
21 SOUTH FORSYTH,15.0,712.0,738.0,0.0,50.0,59.0,0.0,7.0,3.0,0.0,103.0,76.0,3.0,445.0,431.0,4.0,2648.0,2462.0,2.0,144.0,114.0,8016.0
25 WINDERMERE,12.0,585.0,606.0,0.0,46.0,40.0,0.0,4.0,4.0,0.0,67.0,56.0,4.0,337.0,390.0,6.0,1720.0,1576.0,0.0,73.0,78.0,5604.0
27 CONCORD,8.0,528.0,537.0,1.0,17.0,16.0,0.0,4.0,2.0,1.0,71.0,57.0,0.0,24.0,15.0,8.0,2337.0,2147.0,0.0,64.0,57.0,5894.0
29 POLO,14.0,956.0,906.0,0.0,49.0,39.0,0.0,5.0,8.0,0.0,160.0,121.0,0.0,218.0,202.0,12.0,3011.0,2733.0,2.0,196.0,131.0,8763.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,122.0,8572.0,8488.0,1.0,481.0,411.0,1.0,61.0,48.0,3.0,1141.0,873.0,12.0,1868.0,1795.0,89.0,29941.0,27217.0,7.0,1418.0,1051.0,83600.0
