,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,51.96,57.43,0.0
1,OTHER,45.45,64.52,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,12.5,61.11,0.0
4,ASIAN-PACIFIC,50.0,0.0,0.0
5,WHITE,60.98,58.0,0.0
6,BLACK,58.79,69.35,100.0
