,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,26.92,29.41,0.0
1,OTHER,33.33,42.31,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,29.82,31.82,0.0
4,ASIAN-PACIFIC,45.45,37.5,0.0
5,WHITE,44.86,44.59,100.0
6,BLACK,35.18,49.25,50.0
