,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,28.93,41.76,0.0
1,OTHER,50.0,36.36,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,6.67,15.62,0.0
4,ASIAN-PACIFIC,30.77,47.83,0.0
5,WHITE,70.08,66.35,0.0
6,BLACK,52.95,65.33,0.0
