,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,30.57,41.13,0.0
1,OTHER,38.24,45.45,0.0
2,NATIVE AMERICAN,33.33,0.0,0.0
3,LATINO,35.84,42.93,0.0
4,ASIAN-PACIFIC,38.46,39.02,50.0
5,WHITE,60.06,58.22,0.0
6,BLACK,43.86,59.69,0.0
