,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,38.71,47.17,0.0
1,OTHER,57.78,58.06,0.0
2,NATIVE AMERICAN,0.0,100.0,0.0
3,LATINO,45.19,55.39,100.0
4,ASIAN-PACIFIC,41.71,37.95,0.0
5,WHITE,57.64,61.26,100.0
6,BLACK,57.74,65.62,100.0
