PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
TRINITY,4.0,80.0,104.0,0.0,70.0,45.0,0.0,6.0,4.0,0.0,68.0,57.0,0.0,56.0,22.0,1.0,1704.0,1575.0,0.0,1191.0,722.0,5709.0
NORTHSIDE,3.0,136.0,108.0,0.0,123.0,68.0,0.0,8.0,8.0,0.0,96.0,51.0,0.0,72.0,44.0,2.0,3653.0,3112.0,0.0,3576.0,1761.0,12821.0
NAYLOR,0.0,6.0,8.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,263.0,239.0,0.0,139.0,86.0,756.0
RAINWATER,1.0,65.0,72.0,0.0,46.0,33.0,0.0,5.0,1.0,0.0,42.0,40.0,0.0,20.0,29.0,1.0,1986.0,1831.0,0.0,603.0,382.0,5157.0
MILDRED,0.0,20.0,13.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1.0,0.0,0.0,106.0,112.0,0.0,977.0,454.0,1712.0
CLYATTVILLE,0.0,29.0,31.0,0.0,8.0,8.0,0.0,2.0,2.0,0.0,25.0,13.0,0.0,6.0,3.0,0.0,830.0,808.0,0.0,268.0,182.0,2215.0
DASHER,0.0,17.0,30.0,0.0,10.0,9.0,0.0,0.0,3.0,0.0,13.0,10.0,0.0,7.0,4.0,0.0,1017.0,967.0,0.0,140.0,79.0,2306.0
S LOWNDES,1.0,26.0,28.0,0.0,8.0,14.0,0.0,0.0,2.0,0.0,14.0,10.0,0.0,8.0,5.0,0.0,989.0,834.0,0.0,139.0,70.0,2148.0
88888,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,9.0,379.0,394.0,0.0,282.0,185.0,0.0,21.0,21.0,0.0,269.0,188.0,0.0,170.0,107.0,5.0,10548.0,9478.0,0.0,7033.0,3736.0,32825.0
