,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,34.35,37.72,0.0
1,OTHER,47.8,44.73,20.0
2,NATIVE AMERICAN,49.15,37.5,66.67
3,LATINO,41.22,40.6,66.67
4,ASIAN-PACIFIC,39.64,44.63,20.0
5,WHITE,62.87,60.58,40.91
6,BLACK,53.73,62.99,32.86
