RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,32.18,33.33,0.0,32.73
OTHER,47.83,60.87,0.0,54.35
NATIVE-AM,0.0,75.0,0.0,50.0
HISP-LT,47.73,48.1,0.0,47.62
ASIA-PI,39.13,47.06,0.0,43.86
WHITE,56.55,60.84,0.0,58.68
BLACK,37.91,58.26,0.0,48.68
TOTAL,50.77,57.73,0.0,54.24
