PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
BETHLEHEM CHURCH -,1.0,91.0,87.0,0.0,8.0,9.0,0.0,0.0,0.0,1.0,23.0,24.0,0.0,23.0,12.0,1.0,913.0,811.0,0.0,83.0,62.0,2149.0
BRAMLETT ELEMENTARY,1.0,59.0,66.0,0.0,5.0,11.0,0.0,1.0,1.0,0.0,37.0,26.0,0.0,6.0,5.0,0.0,659.0,596.0,1.0,45.0,29.0,1548.0
WESTSIDE MIDDLE,1.0,33.0,51.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,20.0,20.0,0.0,7.0,8.0,1.0,558.0,486.0,0.0,66.0,35.0,1297.0
FIRE STATION 1,0.0,84.0,80.0,0.0,7.0,9.0,0.0,2.0,2.0,0.0,37.0,30.0,0.0,21.0,10.0,2.0,1102.0,971.0,0.0,190.0,104.0,2651.0
WINDER-BARROW HIGH,0.0,33.0,33.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,3.0,6.0,3.0,482.0,426.0,0.0,98.0,52.0,1175.0
STATHAM ELEMENTARY,0.0,63.0,47.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,24.0,11.0,0.0,7.0,6.0,2.0,641.0,568.0,0.0,188.0,127.0,1692.0
FIRST BAPTIST CHURCH,1.0,59.0,67.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,23.0,17.0,0.0,9.0,6.0,0.0,735.0,686.0,1.0,78.0,55.0,1748.0
LIONS CLUB,0.0,59.0,56.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,26.0,14.0,0.0,7.0,8.0,0.0,902.0,752.0,0.0,95.0,57.0,1983.0
LEISURE SERVICES,1.0,38.0,37.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,41.0,23.0,0.0,5.0,7.0,1.0,451.0,361.0,2.0,290.0,129.0,1404.0
APALACHEE HIGH,0.0,77.0,74.0,0.0,4.0,7.0,0.0,1.0,1.0,0.0,67.0,42.0,1.0,12.0,7.0,3.0,689.0,613.0,0.0,150.0,90.0,1838.0
MIDWAY UNITED,4.0,41.0,56.0,1.0,10.0,3.0,0.0,1.0,2.0,1.0,24.0,21.0,0.0,10.0,2.0,1.0,644.0,562.0,0.0,51.0,33.0,1467.0
WINDER COMMUNITY,0.0,37.0,34.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,19.0,9.0,0.0,2.0,4.0,3.0,584.0,494.0,0.0,96.0,47.0,1338.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEDAR CREEK BAPTIST,0.0,19.0,21.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,23.0,6.0,0.0,6.0,2.0,0.0,291.0,257.0,0.0,18.0,14.0,664.0
COUNTY LINE,1.0,56.0,51.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,32.0,16.0,0.0,9.0,9.0,1.0,851.0,779.0,0.0,45.0,37.0,1897.0
THE CHURCH AT WINDER,1.0,94.0,92.0,0.0,10.0,11.0,0.0,2.0,1.0,0.0,83.0,56.0,0.0,12.0,16.0,4.0,1069.0,966.0,0.0,351.0,195.0,2963.0
88888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,11.0,844.0,852.0,1.0,94.0,85.0,0.0,8.0,9.0,2.0,495.0,331.0,1.0,139.0,108.0,22.0,10571.0,9328.0,4.0,1844.0,1066.0,25815.0
