PRECINCT NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
605,1806.0,2.0,71.0,62.0,0.0,14.0,5.0,0.0,1.0,0.0,0.0,8.0,6.0,0.0,5.0,1.0,2.0,341.0,297.0,1.0,629.0,361.0
607,1028.0,2.0,40.0,36.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,15.0,26.0,1.0,563.0,327.0
608,818.0,0.0,22.0,30.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,5.0,2.0,0.0,284.0,242.0,0.0,133.0,81.0
701,1614.0,2.0,60.0,52.0,0.0,8.0,5.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,4.0,8.0,1.0,645.0,522.0,0.0,185.0,108.0
702,1177.0,1.0,51.0,34.0,0.0,9.0,7.0,0.0,1.0,1.0,0.0,9.0,6.0,0.0,8.0,8.0,1.0,484.0,437.0,0.0,78.0,42.0
703,2330.0,2.0,97.0,89.0,2.0,16.0,14.0,0.0,2.0,1.0,0.0,23.0,22.0,1.0,20.0,12.0,1.0,689.0,574.0,2.0,529.0,234.0
705,1474.0,0.0,66.0,43.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,5.0,3.0,1.0,521.0,445.0,2.0,228.0,137.0
706,2111.0,1.0,82.0,68.0,0.0,13.0,11.0,0.0,2.0,2.0,0.0,21.0,8.0,0.0,13.0,9.0,1.0,813.0,667.0,0.0,257.0,143.0
707,1064.0,2.0,54.0,54.0,0.0,13.0,1.0,0.0,2.0,2.0,0.0,12.0,7.0,0.0,10.0,7.0,1.0,257.0,218.0,0.0,283.0,141.0
708,202.0,0.0,5.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,86.0,70.0,0.0,18.0,9.0
709,358.0,0.0,11.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,123.0,98.0,0.0,69.0,37.0
801,279.0,1.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,108.0,84.0,0.0,34.0,25.0
801B,284.0,1.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,0.0,114.0,97.0,0.0,21.0,20.0
802,1573.0,1.0,58.0,55.0,0.0,7.0,8.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,7.0,1.0,1.0,551.0,486.0,0.0,216.0,171.0
803,22.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,6.0,6.0
804,1046.0,1.0,43.0,27.0,0.0,9.0,4.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,4.0,1.0,1.0,191.0,203.0,1.0,330.0,220.0
804H,1615.0,1.0,58.0,61.0,0.0,16.0,6.0,0.0,1.0,2.0,0.0,10.0,4.0,0.0,1.0,1.0,0.0,438.0,410.0,1.0,351.0,254.0
805,412.0,0.0,18.0,14.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,58.0,55.0,2.0,159.0,91.0
806,677.0,2.0,26.0,19.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,2.0,3.0,0.0,209.0,214.0,0.0,111.0,73.0
807,719.0,2.0,28.0,29.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,74.0,81.0,0.0,291.0,191.0
808,1335.0,1.0,53.0,60.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,6.0,7.0,2.0,361.0,339.0,1.0,286.0,189.0
809,519.0,0.0,19.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,271.0,180.0
810,250.0,0.0,8.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,75.0,68.0,0.0,47.0,37.0
88888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
99999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,69807.0,81.0,2909.0,2235.0,5.0,479.0,270.0,0.0,33.0,24.0,4.0,421.0,291.0,2.0,297.0,199.0,30.0,12946.0,11305.0,77.0,24211.0,13988.0
