,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,32.35,33.33,0.0
1,OTHER,0.0,0.0,0.0
2,NATIVE AMERICAN,0.0,50.0,0.0
3,LATINO,0.0,25.0,0.0
4,ASIAN-PACIFIC,25.0,66.67,0.0
5,WHITE,58.11,57.61,0.0
6,BLACK,50.19,66.33,0.0
