,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,43.88,53.04,0.0
1,OTHER,64.71,81.82,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,28.57,48.15,0.0
4,ASIAN-PACIFIC,57.89,71.05,0.0
5,WHITE,74.37,72.74,75.0
6,BLACK,46.27,60.95,0.0
