,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,62.7,55.65,0.0
1,OTHER,40.0,53.85,0.0
2,NATIVE AMERICAN,0.0,100.0,0.0
3,LATINO,80.0,55.0,0.0
4,ASIAN-PACIFIC,58.33,60.53,0.0
5,WHITE,66.4,67.26,100.0
6,BLACK,61.76,78.12,0.0
