,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,33.0,47.03,0.0
1,OTHER,19.51,44.68,0.0
2,NATIVE AMERICAN,28.57,100.0,0.0
3,LATINO,40.0,40.0,0.0
4,ASIAN-PACIFIC,40.0,16.67,0.0
5,WHITE,37.84,31.91,0.0
6,BLACK,46.2,62.15,100.0
