,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,37.38,51.32,0.0
1,OTHER,41.18,58.33,0.0
2,NATIVE AMERICAN,0.0,33.33,0.0
3,LATINO,50.0,54.55,0.0
4,ASIAN-PACIFIC,0.0,37.5,0.0
5,WHITE,56.25,58.33,0.0
6,BLACK,54.51,69.68,0.0
