,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,30.47,35.21,0.0
1,OTHER,54.55,57.14,0.0
2,NATIVE AMERICAN,33.33,20.0,0.0
3,LATINO,34.0,36.09,0.0
4,ASIAN-PACIFIC,37.5,41.46,0.0
5,WHITE,56.14,57.1,0.0
6,BLACK,49.74,58.45,0.0
