,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,38.92,45.51,0.0
1,OTHER,80.0,60.0,0.0
2,NATIVE AMERICAN,100.0,0.0,0.0
3,LATINO,55.0,55.0,0.0
4,ASIAN-PACIFIC,42.86,76.47,0.0
5,WHITE,64.58,66.1,50.0
6,BLACK,66.67,68.66,0.0
