,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,30.33,35.56,0.0
1,OTHER,46.46,50.45,0.0
2,NATIVE AMERICAN,23.08,40.0,0.0
3,LATINO,41.93,45.2,0.0
4,ASIAN-PACIFIC,28.11,36.72,0.0
5,WHITE,62.95,62.38,42.86
6,BLACK,46.59,61.26,100.0
