,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,28.57,41.56,0.0
1,OTHER,22.22,77.78,0.0
2,NATIVE AMERICAN,0.0,50.0,0.0
3,LATINO,56.25,53.33,0.0
4,ASIAN-PACIFIC,60.0,50.0,0.0
5,WHITE,63.5,63.86,100.0
6,BLACK,39.35,59.02,0.0
