,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,28.21,38.54,0.0
1,OTHER,0.0,0.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,33.33,33.33,0.0
4,ASIAN-PACIFIC,50.0,66.67,0.0
5,WHITE,53.02,49.67,100.0
6,BLACK,50.0,0.0,0.0
