,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,36.29,43.17,0.0
1,OTHER,50.0,50.0,100.0
2,NATIVE AMERICAN,50.0,100.0,0.0
3,LATINO,43.48,52.5,0.0
4,ASIAN-PACIFIC,44.07,56.25,0.0
5,WHITE,59.75,60.82,0.0
6,BLACK,57.45,61.68,0.0
