RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,39.67,42.34,0.0,41.02
OTHER,51.06,64.81,0.0,58.42
NATIVE-AM,50.0,33.33,0.0,41.67
HISP-LT,45.38,55.35,0.0,50.87
ASIA-PI,42.13,38.42,0.0,40.0
WHITE,59.8,59.6,100.0,59.73
BLACK,52.54,65.27,0.0,60.14
TOTAL,53.61,56.14,50.0,54.95
