,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,25.81,54.55,0.0
1,OTHER,40.0,50.0,0.0
2,NATIVE AMERICAN,100.0,100.0,0.0
3,LATINO,50.0,33.33,0.0
4,ASIAN-PACIFIC,0.0,75.0,0.0
5,WHITE,70.91,75.92,0.0
6,BLACK,58.79,70.82,0.0
