,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,17.39,47.62,0.0
1,OTHER,0.0,0.0,0.0
2,NATIVE AMERICAN,100.0,0.0,0.0
3,LATINO,100.0,0.0,0.0
4,ASIAN-PACIFIC,0.0,0.0,0.0
5,WHITE,68.95,60.42,0.0
6,BLACK,33.33,100.0,0.0
