,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,43.68,56.87,0.0
1,OTHER,56.25,40.91,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,48.28,60.94,0.0
4,ASIAN-PACIFIC,42.86,50.0,0.0
5,WHITE,63.65,66.32,100.0
6,BLACK,68.87,73.89,50.0
