,RACE,MALE,FEMALE,UNKNOWN
0,UNKNOWN,34.78,42.42,0.0
1,OTHER,40.0,50.0,0.0
2,NATIVE AMERICAN,0.0,0.0,0.0
3,LATINO,50.0,62.5,0.0
4,ASIAN-PACIFIC,50.0,0.0,0.0
5,WHITE,55.18,55.93,0.0
6,BLACK,60.0,62.9,0.0
